https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01305-o003_t003_nircam_clear-f277w_i2d.fits,1305,288MB,2023-01-20
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01305-o004_t004_nircam_clear-f277w_i2d.fits,1305,287MB,2023-01-20
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01305-o002_t002_nircam_clear-f277w_i2d.fits,1305,287MB,2023-01-20
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01305-o001_t001_nircam_clear-f277w_i2d.fits,1305,287MB,2023-01-20
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1000_t001_nircam_f335m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1000_t001_nircam_f410m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1000_t001_nircam_f430m-maskbar-sub320alwb_i2d.fits,1412,6MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1000_t001_nircam_f460m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01433-o020_t001_nircam_clear-f480m_i2d.fits,1433,305MB,2023-01-09
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1007_t001_nircam_f335m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1007_t001_nircam_f410m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1007_t001_nircam_f430m-maskbar-sub320alwb_i2d.fits,1412,6MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01412-c1007_t001_nircam_f460m-maskbar-sub320alwb_i2d.fits,1412,5MB,2023-02-06
https://mast.stsci.edu/api/v0.1/Download/file/?uri=mast:JWST/product/jw01837-o025_t029_nircam_clear-f277w_i2d.fits,1837,289MB,2023-01-20
